region|date|from1to24|from25to49|from50to74|from75to100
lacnic|20210315|112|259|1012|3707
lacnic|20210415|120|260|1054|3687
lacnic|20210515|119|251|1051|3733
lacnic|20210615|115|272|1083|3728
lacnic|20210715|111|268|1083|3742
lacnic|20210815|108|288|1127|3754
lacnic|20210915|117|283|1146|3764
lacnic|20211015|117|273|1175|3758
lacnic|20211115|121|287|1179|3774
lacnic|20211215|125|268|1206|3740
lacnic|20220115|124|302|1211|3761
lacnic|20220215|123|307|1191|3796
lacnic|20220315|127|318|1193|3788
lacnic|20220415|122|331|1181|3772
lacnic|20220515|123|336|1194|3743
lacnic|20220615|129|344|1177|3765
lacnic|20220715|133|357|1201|3799
lacnic|20220815|131|353|1165|3780
lacnic|20220915|144|358|1180|3787
lacnic|20221015|132|346|1211|3744
lacnic|20221115|132|370|1213|3688
lacnic|20221215|135|349|1228|3721
lacnic|20230115|145|346|1215|3717
lacnic|20230215|147|350|1247|3717
lacnic|20230315|151|351|1234|3706
lacnic|20230415|149|363|1237|3722
lacnic|20230515|144|385|1217|3721
lacnic|20230615|157|380|1236|3746
lacnic|20230715|169|378|1246|3802
lacnic|20230815|167|388|1265|3769
lacnic|20230915|170|380|1279|3821
lacnic|20231015|172|390|1254|3824
lacnic|20231115|163|409|1236|3816
lacnic|20231215|179|440|1226|3800
lacnic|20240115|181|422|1253|3795
lacnic|20240215|182|417|1248|3778
lacnic|20240315|186|417|1243|3765
lacnic|20240415|167|438|1262|3773
lacnic|20240515|186|437|1293|3754
lacnic|20240615|191|464|1283|3751
ripencc|20140615|75|312|1335|2544
ripencc|20140715|80|311|1380|2573
ripencc|20140815|83|328|1374|2594
ripencc|20140915|87|332|1346|2660
ripencc|20141015|78|350|1358|2685
ripencc|20141115|83|331|1375|2747
ripencc|20141215|85|343|1369|2720
ripencc|20150115|90|357|1394|2762
ripencc|20150215|92|365|1403|2714
ripencc|20150315|94|344|1448|2750
ripencc|20150415|96|345|1459|2701
ripencc|20150515|92|342|1475|2744
ripencc|20150615|98|356|1466|2737
ripencc|20150715|96|349|1465|2730
ripencc|20150815|94|360|1478|2759
ripencc|20150915|101|358|1485|2781
ripencc|20151015|104|355|1523|2776
ripencc|20151115|99|355|1532|2823
ripencc|20151215|105|363|1525|2883
ripencc|20160115|105|382|1548|2885
ripencc|20160215|108|383|1579|2920
ripencc|20160315|107|385|1612|2943
ripencc|20160415|113|385|1620|2959
ripencc|20160515|109|381|1638|2976
ripencc|20160615|113|376|1638|3016
ripencc|20160715|115|381|1607|3018
ripencc|20160815|118|388|1662|3053
ripencc|20160915|114|391|1649|3064
ripencc|20161015|124|369|1655|3067
ripencc|20161115|130|375|1667|3097
ripencc|20161215|133|375|1669|3082
ripencc|20170115|134|386|1677|3025
ripencc|20170215|133|395|1708|3095
ripencc|20170315|130|387|1747|3110
ripencc|20170415|132|400|1760|3133
ripencc|20170515|132|407|1763|3146
ripencc|20170615|138|405|1797|3170
ripencc|20170715|136|413|1837|3142
ripencc|20170815|134|424|1854|3195
ripencc|20170915|144|432|1854|3184
ripencc|20171015|147|425|1898|3247
ripencc|20171115|143|451|1886|3320
ripencc|20171215|140|445|1928|3247
ripencc|20180115|133|437|1891|3268
ripencc|20180215|142|446|1897|3301
ripencc|20180315|152|471|1946|3307
ripencc|20180415|159|512|2049|3384
ripencc|20180515|164|497|1991|3420
ripencc|20180615|169|517|2029|3470
ripencc|20180715|157|486|1981|3403
ripencc|20180815|173|483|1988|3485
ripencc|20180915|188|477|1997|3501
ripencc|20181015|195|467|1989|3547
ripencc|20181115|202|479|1994|3627
ripencc|20181215|192|487|2000|3651
ripencc|20190115|191|491|1960|3726
ripencc|20190215|194|496|1971|3749
ripencc|20190315|198|509|1980|3737
ripencc|20190415|196|507|1913|3769
ripencc|20190515|192|545|1961|3817
ripencc|20190615|199|533|1973|3853
ripencc|20190715|205|553|1959|3860
ripencc|20190815|215|519|2001|3780
ripencc|20190915|205|517|2030|3916
ripencc|20191015|216|526|2017|4078
ripencc|20191115|217|549|2010|4053
ripencc|20191215|226|562|2017|3956
ripencc|20200115|231|548|2051|4041
ripencc|20200215|227|567|2053|4011
ripencc|20200315|226|586|2096|4071
ripencc|20200415|237|556|2065|4109
ripencc|20200515|243|549|2124|4093
ripencc|20200615|259|550|2025|4105
ripencc|20200715|266|557|2053|4088
ripencc|20200815|285|566|2051|4087
ripencc|20200915|300|568|2035|4110
ripencc|20201015|296|610|2054|4139
ripencc|20201115|303|611|2073|4092
ripencc|20201215|291|621|2080|4216
ripencc|20210115|298|609|2065|4244
ripencc|20210215|297|622|2041|4249
ripencc|20210315|300|628|2037|4298
ripencc|20210415|295|644|2021|4313
ripencc|20210515|305|609|2064|4290
ripencc|20210615|307|617|2063|4322
ripencc|20210715|304|602|2024|4319
ripencc|20210815|288|608|2052|4329
ripencc|20210915|291|621|2089|4299
ripencc|20211015|283|626|2091|4576
ripencc|20211115|293|609|2062|4423
ripencc|20211215|296|593|2057|4342
ripencc|20220115|305|604|2081|4409
ripencc|20220215|314|600|2097|4390
ripencc|20220315|313|618|2066|4425
ripencc|20220415|320|601|2112|4349
ripencc|20220515|297|603|2205|4362
ripencc|20220615|309|599|2128|4493
ripencc|20220715|326|606|2108|4597
ripencc|20220815|322|610|2024|4541
ripencc|20220915|331|596|2073|4569
ripencc|20221015|321|607|2089|4536
ripencc|20221115|322|598|2132|4472
ripencc|20221215|317|625|2045|4482
ripencc|20230115|316|608|2110|4474
ripencc|20230215|316|590|2104|4417
ripencc|20230315|328|590|2131|4394
ripencc|20230415|331|611|2137|4445
ripencc|20230515|322|606|2110|4476
ripencc|20230615|325|588|2117|4454
ripencc|20230715|296|586|2170|4370
ripencc|20230815|303|604|2200|4443
ripencc|20230915|312|603|2183|4470
ripencc|20231015|315|615|2185|4468
ripencc|20231115|316|629|2193|4493
ripencc|20231215|320|644|2189|4376
ripencc|20240115|330|632|2196|4421
ripencc|20240215|319|631|2176|4355
ripencc|20240315|328|634|2191|4429
ripencc|20240415|321|653|2206|4429
ripencc|20240515|335|667|2211|4405
ripencc|20240615|345|699|2178|4461
