#origin_as|region|country|as_type|use_selective|selective_prefixes|selective_neighbors|selective_proportion|median_intensity
9528|apnic|KR|hosting|True|2|1|0.25|1.00
9529|apnic|KR|none|False|0|0|0.00|1.00
9530|apnic|KR|business|True|17|2|0.39|1.00
9531|apnic|KR|education|False|0|0|0.00|1.00
9532|apnic|KR|business|False|0|0|0.00|1.00
9533|apnic|TH|education|True|9|1|0.50|1.00
9534|apnic|MY|isp|True|52|7|1.00|0.57
9535|apnic|CN|none|True|149|4|1.00|0.50
9536|apnic|HK|business|False|0|0|0.00|1.00
9538|apnic|HK|government|False|0|0|0.00|1.00
9541|apnic|PK|isp|True|169|3|1.00|0.33
9543|apnic|AU|isp|False|0|0|0.00|1.00
9544|apnic|AU|hosting|False|0|0|0.00|1.00
9546|apnic|TH|government|False|0|0|0.00|1.00
9547|apnic|AU|none|True|8|2|1.00|0.50
9549|apnic|AU|none|False|0|0|0.00|1.00
9551|apnic|TH|education|True|5|3|0.36|1.00
9555|apnic|AU|business|True|1|1|0.00|1.00
9556|apnic|AU|none|True|4|1|0.01|1.00
9557|apnic|PK|isp|False|0|0|0.00|1.00
9559|apnic|NZ|hosting|True|8|3|0.60|0.67
9562|apnic|TH|business|True|4|1|0.50|1.00
9564|apnic|AU|business|False|0|0|0.00|1.00
9569|apnic|KR|isp|False|0|0|0.00|1.00
9570|apnic|KR|none|False|0|0|0.00|1.00
9571|apnic|KR|hosting|False|0|0|0.00|1.00
9572|apnic|KR|education|True|7|2|1.00|0.50
9574|apnic|KR|business|False|0|0|0.00|1.00
9575|apnic|KR|none|False|0|0|0.00|1.00
9576|apnic|KR|none|True|10|1|0.36|1.00
9577|apnic|KR|hosting|True|4|3|1.00|0.67
9578|apnic|KR|hosting|True|2|1|0.04|1.00
9579|apnic|KR|hosting|False|0|0|0.00|1.00
9580|apnic|IN|none|True|1|1|0.00|1.00
9581|apnic|HK|none|False|0|0|0.00|1.00
9583|apnic|IN|isp|True|1339|50|1.00|0.62
9584|apnic|HK|hosting|True|40|6|0.01|1.00
9587|apnic|TH|business|True|4|5|0.11|1.00
9590|apnic|HK|business|True|5|4|1.00|0.50
9591|apnic|JP|business|False|0|0|0.00|1.00
9593|apnic|JP|business|False|0|0|0.00|1.00
9595|apnic|JP|business|True|35|4|0.78|0.60
9597|apnic|JP|hosting|False|0|0|0.00|1.00
9600|apnic|JP|hosting|False|0|0|0.00|1.00
9601|apnic|JP|isp|True|5|3|0.69|0.67
9604|apnic|JP|hosting|False|0|0|0.00|1.00
9605|apnic|JP|isp|True|355|4|1.00|0.50
9607|apnic|JP|hosting|False|0|0|0.00|1.00
9609|apnic|JP|none|False|0|0|0.00|1.00
9614|apnic|JP|isp|True|7|4|0.44|1.00
9615|apnic|JP|isp|False|0|0|0.00|1.00
9617|apnic|JP|business|True|47|2|0.00|1.00
9618|apnic|JP|business|False|0|0|0.00|1.00
9619|apnic|JP|business|False|0|0|0.00|1.00
9621|apnic|JP|isp|False|0|0|0.00|1.00
9622|apnic|JP|isp|True|4|2|1.00|0.50
9625|apnic|IN|none|True|83|3|0.99|0.33
9627|apnic|AU|hosting|True|22|3|0.05|1.00
9628|apnic|KR|business|True|22|4|1.00|0.50
9629|apnic|KR|business|False|0|0|0.00|1.00
9630|apnic|KR|business|False|0|0|0.00|1.00
9632|apnic|KR|business|False|0|0|0.00|1.00
9633|apnic|KR|business|False|0|0|0.00|1.00
9634|apnic|KR|business|False|0|0|0.00|1.00
9635|apnic|KR|business|False|0|0|0.00|1.00
9637|apnic|KR|education|False|0|0|0.00|1.00
9638|apnic|KR|isp|True|16|2|1.00|0.67
9639|apnic|KR|business|False|0|0|0.00|1.00
9640|apnic|KR|business|True|1|1|0.33|1.00
9641|apnic|KR|isp|False|0|0|0.00|1.00
9642|apnic|KR|business|True|1|1|0.50|1.00
9643|apnic|KR|business|True|4|3|1.00|0.67
9644|apnic|KR|isp|False|0|0|0.00|1.00
9645|apnic|KR|business|False|0|0|0.00|1.00
9646|apnic|KR|business|True|3|1|0.75|0.50
9647|apnic|KR|government|True|18|2|0.36|1.00
9648|apnic|AU|isp|False|0|0|0.00|1.00
9649|apnic|TH|hosting|True|57|5|1.00|0.20
9650|apnic|AU|government|True|33|5|1.00|0.80
9651|apnic|BD|business|False|0|0|0.00|1.00
9652|apnic|NZ|isp|True|70|3|0.94|0.67
9653|apnic|IN|business|False|0|0|0.00|1.00
9655|apnic|MY|business|True|4|1|0.33|1.00
9656|apnic|SG|business|True|2|1|0.04|1.00
9657|apnic|ID|isp|False|0|0|0.00|1.00
9658|apnic|PH|isp|True|481|10|1.00|0.70
9660|apnic|HK|business|True|1|1|0.00|1.00
9661|apnic|AU|business|False|0|0|0.00|1.00
9666|apnic|IN|none|True|4|4|1.00|0.50
9667|apnic|AU|hosting|True|8|5|1.00|0.40
9671|apnic|TW|business|True|6|1|0.00|1.00
9672|apnic|AU|business|False|0|0|0.00|1.00
9674|apnic|TW|isp|True|44|2|0.99|0.50
9676|apnic|TW|isp|False|0|0|0.00|1.00
9680|apnic|TW|isp|True|14|13|1.00|0.92
9684|apnic|KR|business|False|0|0|0.00|1.00
9685|apnic|KR|business|False|0|0|0.00|1.00
9686|apnic|KR|education|True|6|4|1.00|0.80
9688|apnic|KR|business|True|2|1|0.15|1.00
9689|apnic|KR|isp|False|0|0|0.00|1.00
9691|apnic|KR|education|False|0|0|0.00|1.00
9692|apnic|KR|business|True|2|1|0.40|1.00
9693|apnic|KR|business|True|3|1|0.38|1.00
9694|apnic|KR|isp|True|89|2|0.25|1.00
9696|apnic|KR|business|True|13|1|0.50|1.00
