asn|aspp_average|moreSpecific_average|selective_average
2823|100.0||
2824||6.53|78.69
2828|0.48|4.49|69.47
2829|100.0||
2830|6.88|4.23|93.74
2831||50.0|
2833||31.25|
2837||25.0|100.0
2840|||91.98
2841||11.57|
2842||50.0|
2843||20.1|
2846||27.08|
2847||10.91|0.64
2848|100.0|24.58|99.0
2850||49.38|
2852|46.93|19.9|60.35
2854|47.78|16.0|100.0
2856|1.68|5.34|97.73
2857|73.39|36.18|43.53
2860|4.28|14.09|89.64
2863||22.82|44.16
2864|100.0||
2865||16.67|
2872|||100.0
2873|||100.0
2875|68.75|50.0|
2877|100.0||
2878||20.0|
2882||8.03|73.21
2886|100.0||
2894||29.56|79.22
2895|73.0|21.17|56.5
2896|44.44|36.55|0.0
2897|22.32|20.0|98.73
2900|71.95|20.12|46.92
2901|91.61|8.13|38.88
2902||18.09|100.0
2903|72.93|43.09|99.19
2904|33.33|41.14|0.0
2906|3.27|4.55|100.0
2907|90.21|6.59|83.12
2912|7.93|11.09|70.43
2914|1.06|3.16|100.0
2915|||19.0
2920|1.76|7.47|98.35
2923||26.16|99.71
2924|88.14||75.0
2928|100.0|14.29|37.94
2933|||100.0
2936||50.0|
2939|97.69|10.0|86.0
2941|95.24|35.68|36.71
3043|44.44|23.91|85.51
3058|98.09|16.54|12.38
3061|||9.0
3064|4.35|1.86|15.33
3067|98.64|2.49|70.79
3073|||67.0
3081|||18.63
3083|100.0||
3084|100.0||
3087|100.0||100.0
3095|96.43||25.0
3096|100.0||40.52
3104|||20.0
3107|100.0||
3110||33.33|
3112||4.96|98.93
3128|57.99|43.31|94.71
3130||14.36|19.13
3131||12.79|
3132|56.62|11.08|100.0
3134||38.31|50.0
3136|58.24|35.86|58.74
3141|85.29|50.0|
3142||25.0|
3144||33.33|
3145|90.41|5.1|57.88
3146||2.61|100.0
3147|6.32|20.94|55.23
3152||21.44|2.0
3163|93.75|12.62|6.64
3164|79.9||67.06
3165|100.0||
3166|89.67||16.36
3167|100.0||
3168|55.19||98.1
3169|71.17||39.87
3170||2.76|90.51
3171|||50.0
3175|92.82||18.3
3176|33.33||95.58
3177|48.57|8.63|100.0
3178||27.73|0.0
3180|100.0||
3181|25.0|36.04|64.89
3185|100.0|33.33|8.33
3186|79.96|27.58|70.21
3187|100.0||
3188|57.57|16.94|59.16
3194|37.03|13.98|96.87
3199|100.0||
3200|||51.67
3201|100.0||
3202|68.28|49.17|20.05
3203|57.41||70.91
3206|100.0||
3208||8.11|73.03
3209|7.36|3.68|100.0
3210|98.96|6.67|56.77
3212|38.96|8.93|62.87
3213|||49.03
3214|57.39|1.11|98.67
3215|19.64|3.81|71.58
3216|22.54|5.61|100.0
3217|100.0|23.33|17.05
3218|78.32|20.01|48.72
3219|82.05|39.84|
3220|||92.67
3221|100.0||
3222|95.0|25.55|0.5
3223|3.01|3.0|100.0
3225|49.56|18.98|99.31
3226|98.21|10.0|46.52
3228||14.37|
3233|||97.62
3236||28.28|
3238|70.17|30.58|76.81
3239||20.28|99.72
3242|49.14|12.83|88.32
3243||10.58|17.29
3244|69.05|33.33|96.92
3245|96.36|16.67|55.72
3246|7.79|2.04|96.82
3249||3.49|48.67
3250|100.0||58.25
3252|63.33|49.77|79.02
3253||4.12|94.0
3254|97.5|50.0|1.72
3255|47.76|5.66|99.87
3257|9.15|7.76|100.0
3258|57.87||100.0
3259|72.26|22.18|66.09
3260|18.43|16.22|100.0
3261|81.36|6.16|59.93
3262|33.85|13.64|66.71
3264|||25.0
3265|75.5|3.45|67.39
3266|70.61|3.5|49.0
3267|39.66|16.66|96.39
3268|48.08|38.72|11.64
3269|2.27|8.03|100.0
3271|66.03||100.0
3273|13.23||
3274|100.0||
3275||33.33|0.0
3277|41.33|19.18|24.0
3278||24.27|3.26
3279|100.0||
3280|71.0||94.73
3281|100.0||78.72
3284|90.74||87.5
3285|96.3||87.12
3287|99.41|50.0|33.0
3288||18.05|71.6
3289|||50.0
3290|97.32|20.0|99.48
3291|||91.62
3292|1.44|3.59|96.17
3295|50.9||90.43
3296|24.29|7.14|100.0
3297|63.64||51.3
3298|33.4||80.11
3299|4.76||81.76
3300|3.31|20.7|100.0
3301||2.28|51.14
3302|79.04|6.28|32.85
3303|25.36|13.6|100.0
3304||11.11|100.0
3306|100.0||
3308||4.66|8.73
3311|64.93||76.32
3312|50.0||16.0
3313||3.38|99.39
3314||50.0|
3316|60.63|6.14|68.16
